视频标题,观看量,弹幕数,点赞数,投币数,收藏数,转发数,时间
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,984000,5900,34000,34500,32000,23000,2023/10/10
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,1707000,10400,103000,98600,47000,39000,2023/10/11
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,2358000,16000,179000,118000,56000,51000,2023/10/12
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,2943000,18000,218000,127000,59000,56000,2023/10/13
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,3052000,19000,265000,135000,63000,59000,2023/10/14
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,3129000,19000,269000,137000,64000,60000,2023/10/15
