摇滚,电子音乐,乡村,民谣,轻音乐,古典,新世纪,雷鬼,布鲁斯,节奏与布鲁斯,原声,世界音乐,儿童音乐,拉丁,朋克,金属,爵士,嘻哈,唱作人,娱乐/舞台,其他
14000,13000,1057,163,,699,,154,37,3395,554,457,287,219,53,400,288,16000,294,93,5325
13000,13000,1054,161,,698,,149,36,3228,553,455,286,216,50,391,284,14000,292,93,5239
12000,13000,1051,160,,688,,149,36,3212,540,440,285,215,49,384,282,13000,290,93,5043
12000,13000,1036,158,,688,,147,36,3162,529,440,273,214,49,381,280,13000,282,93,4917
12000,13000,1036,157,,685,,145,34,3118,523,437,271,210,49,376,280,12000,275,91,4616
11000,13000,1020,157,,664,,141,34,3104,522,429,268,208,48,367,278,12000,272,91,4345
11000,12000,1006,157,,650,,140,33,3095,520,418,266,200,48,361,269,12000,266,91,4171
11000,12000,998,157,,641,,139,32,2948,519,411,264,198,48,352,269,12000,260,91,4135
11000,11000,990,154,,639,,139,32,2931,513,411,259,197,45,342,268,11000,258,90,4079
11000,11000,964,154,,623,,139,31,2928,512,410,258,194,45,339,266,11000,256,87,4039
11000,11000,940,151,,621,,137,31,2848,507,403,256,194,44,327,263,11000,256,86,4001
10000,11000,906,150,,614,,137,31,2842,498,400,245,193,44,314,261,11000,254,86,3994
10000,10000,905,149,,611,,133,31,2822,493,400,245,193,43,309,261,10000,253,85,3889
9985,10000,892,149,,604,,131,31,2716,491,387,236,187,42,307,259,10000,250,85,3841
9858,10000,868,139,,600,,127,31,2681,490,369,232,185,41,305,258,9994,243,85,3829
9632,10000,863,139,,574,,127,31,2615,485,365,231,183,41,293,258,9922,241,85,3794
9498,9336,848,139,,552,,125,30,2575,466,359,224,177,38,286,252,9732,233,85,3694
9213,9238,842,138,,542,,123,28,2555,460,353,221,175,38,285,249,9613,228,85,3675
9078,9071,836,133,,540,,118,28,2527,457,351,216,174,37,274,248,9393,226,85,3641
9016,8919,835,133,,540,,117,28,2472,456,348,216,174,36,274,245,9361,225,83,3623
8994,8366,798,130,,539,,117,27,2470,452,347,213,171,35,272,245,9350,211,83,3606
8891,8336,792,128,,538,,117,27,2468,450,341,210,169,35,270,243,9215,201,83,3588
8510,8321,775,126,,535,,116,27,2441,447,339,210,168,34,270,242,9137,197,82,3580
8498,8211,773,125,,533,,114,27,2414,443,336,210,166,34,269,242,9129,195,82,3579
8274,8071,769,122,,532,,112,27,2342,441,323,202,162,32,267,241,9005,194,82,3559
8185,7746,760,121,,504,,112,26,2292,437,321,197,161,32,265,240,8973,194,81,3469
8031,7569,757,121,,502,,110,26,2250,433,317,195,161,32,265,235,8969,192,81,3467
7986,7525,740,121,,500,,109,25,2234,424,316,194,160,32,258,235,8908,190,81,3463
7717,7514,736,117,,498,,108,25,2226,422,312,192,160,32,254,232,8833,188,79,3370
7651,7354,729,115,,497,,107,25,2211,419,307,192,160,30,252,228,8500,183,79,3350
7514,7027,725,114,,494,,103,25,2202,419,306,184,158,30,252,226,8472,180,78,3250
7496,6746,705,113,,492,,103,24,2147,418,304,184,158,30,247,225,8230,179,76,3243
7345,6445,671,108,,490,,102,24,2042,414,284,183,157,29,241,220,8223,179,76,3239
7148,6443,659,106,,490,,101,24,1985,411,283,181,154,29,237,220,8184,171,74,3156
7126,6398,658,105,,484,,101,24,1980,408,281,179,154,28,236,219,7927,170,74,3131
7034,6385,658,104,,480,,100,24,1924,407,273,173,154,28,235,215,7720,170,73,3129
6874,6381,652,99,,477,,100,23,1905,401,272,173,152,27,232,213,7541,170,72,3068
6741,6346,650,99,,476,,100,22,1879,400,265,170,150,27,226,211,7469,170,72,3067
6715,6258,647,97,,475,,99,22,1875,393,264,170,149,24,225,211,7390,169,71,3066
6709,6251,645,97,,464,,97,21,1873,391,263,163,148,23,223,208,7120,168,71,3056
6658,6212,627,94,,462,,95,21,1857,388,263,162,148,23,221,208,6960,168,70,3035
6593,6211,625,85,,462,,95,21,1853,388,262,161,146,23,220,203,6718,165,69,3015
6342,6174,607,84,,459,,94,20,1797,386,258,161,145,23,212,203,6681,161,68,3000
6298,6137,604,82,,458,,94,20,1795,382,257,159,144,23,208,203,6642,159,67,2999
6269,5804,599,78,,457,,93,20,1761,378,255,158,144,23,207,201,6641,159,67,2998
6249,5719,598,76,,442,,93,20,1758,376,252,155,143,23,202,199,6496,158,66,2969
6227,5709,577,75,,440,,90,19,1732,373,251,154,143,22,200,198,6296,154,66,2959
6212,5660,574,73,,439,,88,18,1730,370,251,154,141,22,199,198,6035,154,66,2937
