up主,粉丝总数,获赞数,总播放量
荼荼丸,98000.0,120000.0,3396000.0
失明少女,9871,18000.0,456000.0
beijizhu,2795,18000.0,1363000.0
hank,126000.0,1030000.0,23479000.0
NINI,1957,6939,1442000.0
捂脸姬,1616,4854,124000.0
AUER,7542,13000.0,229000.0
ハオ,9131,21000.0,105000.0
疾风之龙,8508,77000.0,3062000.0
平安夜的噩梦,271000.0,2549000.0,55128000.0
